attack_mode,attack,level,dt_level,mal_nodes,method,seed,round,tau_gate,lambda_m,ref_size,audit_size,S_DT,S_DT_ratio,num_masked,num_valid,valid_ratio,fallback_flag,fallback_method,skip_semantic,W_mal,benign_pass_rate,malicious_pass_rate,benign_admitted_weight_mass,uses_dt,method_detail,exp_group,w_mal
label_flip,label_flip,L1,D0,3,weighted,0,1,0.6,0.0,128,0,91.7368392944336,0.7166940569877625,36,92,0.71875,0,none,0,0.1682646290302853,0.0,0.0,0.8317353709697146,False,weighted,tau,0.1682646290302853
label_flip,label_flip,L1,D0,3,weighted,0,2,0.6,0.0,128,0,91.7368392944336,0.7166940569877625,36,92,0.71875,0,none,0,0.12889643775836737,0.0,0.0,0.8711035622416327,False,weighted,tau,0.12889643775836737
label_flip,label_flip,L1,D0,3,weighted,0,3,0.6,0.0,128,0,91.7368392944336,0.7166940569877625,36,92,0.71875,0,none,0,0.09468215372238906,0.0,0.0,0.905317846277611,False,weighted,tau,0.09468215372238906
label_flip,label_flip,L1,D0,3,weighted,0,4,0.6,0.0,128,0,91.7368392944336,0.7166940569877625,36,92,0.71875,0,none,0,0.09435767189685651,0.0,0.0,0.9056423281031434,False,weighted,tau,0.09435767189685651
label_flip,label_flip,L1,D0,3,weighted,0,5,0.6,0.0,128,0,91.7368392944336,0.7166940569877625,36,92,0.71875,0,none,0,0.08404393084541364,0.0,0.0,0.9159560691545864,False,weighted,tau,0.08404393084541364
label_flip,label_flip,L1,D0,3,weighted,0,6,0.6,0.0,128,0,91.7368392944336,0.7166940569877625,36,92,0.71875,0,none,0,0.07779366829135301,0.0,0.0,0.922206331708647,False,weighted,tau,0.07779366829135301
label_flip,label_flip,L1,D0,3,weighted,0,7,0.6,0.0,128,0,91.7368392944336,0.7166940569877625,36,92,0.71875,0,none,0,0.07106427255439032,0.0,0.0,0.9289357274456097,False,weighted,tau,0.07106427255439032
label_flip,label_flip,L1,D0,3,weighted,0,8,0.6,0.0,128,0,91.7368392944336,0.7166940569877625,36,92,0.71875,0,none,0,0.06340799686642189,0.0,0.0,0.9365920031335782,False,weighted,tau,0.06340799686642189
label_flip,label_flip,L1,D0,3,weighted,0,9,0.6,0.0,128,0,91.7368392944336,0.7166940569877625,36,92,0.71875,0,none,0,0.06373937549555442,0.14285714285714285,0.0,0.9362606245044456,False,weighted,tau,0.06373937549555442
label_flip,label_flip,L1,D0,3,weighted,0,10,0.6,0.0,128,0,91.7368392944336,0.7166940569877625,36,92,0.71875,0,none,0,0.0589549258851727,1.0,0.0,0.9410450741148274,False,weighted,tau,0.0589549258851727
label_flip,label_flip,L1,D0,3,weighted,0,11,0.6,0.0,128,0,91.7368392944336,0.7166940569877625,36,92,0.71875,0,none,0,0.02316161102433154,1.0,0.0,0.9768383889756684,False,weighted,tau,0.02316161102433154
label_flip,label_flip,L1,D0,3,weighted,0,12,0.6,0.0,128,0,91.7368392944336,0.7166940569877625,36,92,0.71875,0,none,0,0.05259641259089738,1.0,0.0,0.9474035874091026,False,weighted,tau,0.05259641259089738
