attack_mode,attack,level,dt_level,mal_nodes,method,seed,tau_gate,lambda_m,ref_size,audit_size,skipped,skip_reason,polluted_acc,polluted_f1,clean_acc,clean_f1,w_mal,w_mal_round_mean,S_DT,S_DT_ratio,valid_ratio,fallback_rate,fallback_flag_first,fallback_flag_final,fallback_method,skip_semantic,num_masked,num_valid,benign_pass_rate,malicious_pass_rate,benign_admitted_weight_mass,uses_dt,method_detail,mimic_loss,poison_loss,final_kl_to_teacher,exp_group
label_flip,label_flip,L1,D0,3,weighted,1,0.7,0.0,128,0,False,,0.6779305338859558,0.625237806341874,0.7872340679168701,0.7354248623748534,0.06461891432128966,0.09768235045479279,91.88980102539062,0.7178890705108643,0.71875,0.0,0.0,0.0,none,0,36.0,92.0,0.0,0.0,0.9023176495452073,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,3,weighted,2,0.7,0.0,128,0,False,,0.6737357378005981,0.6300191364735255,0.802538275718689,0.7617916968444074,0.04602149026884913,0.058662255468962594,75.86407470703125,0.5926880836486816,0.59375,0.0,0.0,0.0,none,0,52.0,76.0,0.15238095238095237,0.0,0.9413377445310374,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,3,weighted,3,0.7,0.0,128,0,False,,0.6767653226852417,0.6278272674711792,0.7973124384880066,0.7504431200588044,0.03668036606613713,0.06590696854569603,82.65809631347656,0.6457663774490356,0.6484375,0.0,0.0,0.0,none,0,45.0,83.0,0.009523809523809523,0.0,0.934093031454304,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,3,weighted,4,0.7,0.0,128,0,False,,0.6802610158920288,0.6327773394826218,0.8034714460372925,0.7608014925168938,0.06391336942678454,0.07769803913943278,86.80510711669922,0.6781648993492126,0.6796875,0.0,0.0,0.0,none,0,41.0,87.0,0.009523809523809523,0.0,0.922301960860567,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,3,weighted_r2only,0,0.7,0.0,128,0,False,,0.5968305468559265,0.39436761053776287,0.6578013896942139,0.42494757543062933,0.3,0.29999999999999993,nan,nan,nan,0.0,0.0,0.0,none,0,0.0,0.0,nan,nan,nan,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,3,weighted_r2only,1,0.7,0.0,128,0,False,,0.40969470143318176,0.29062654984274294,0.35022395849227905,0.2593821273064635,0.3,0.29999999999999993,nan,nan,nan,0.0,0.0,0.0,none,0,0.0,0.0,nan,nan,nan,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,3,weighted_r2only,2,0.7,0.0,128,0,False,,0.4845024347305298,0.47858824449662896,0.4565136134624481,0.45603459735854357,0.3,0.29999999999999993,nan,nan,nan,0.0,0.0,0.0,none,0,0.0,0.0,nan,nan,nan,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,3,weighted_r2only,3,0.7,0.0,128,0,False,,0.5900722146034241,0.37109775758440666,0.649776041507721,0.3938571186150674,0.3,0.29999999999999993,nan,nan,nan,0.0,0.0,0.0,none,0,0.0,0.0,nan,nan,nan,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,3,weighted_r2only,4,0.7,0.0,128,0,False,,0.40969470143318176,0.29062654984274294,0.35022395849227905,0.2593821273064635,0.3,0.29999999999999993,nan,nan,nan,0.0,0.0,0.0,none,0,0.0,0.0,nan,nan,nan,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,3,weighted_r4only,0,0.7,0.0,128,0,False,,0.6765322685241699,0.6226865437143372,0.8040313720703125,0.7573543720804723,0.10349126998208115,0.13317503619931897,91.7368392944336,0.7166940569877625,0.71875,0.0,0.0,0.0,none,0,36.0,92.0,0.0,0.0,0.866824963800681,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,3,weighted_r4only,1,0.7,0.0,128,0,False,,0.6693078279495239,0.6092721963280119,0.7696901559829712,0.7079837530544395,0.13942806440304756,0.16268368986848222,91.88980102539062,0.7178890705108643,0.71875,0.0,0.0,0.0,none,0,36.0,92.0,0.0,0.0,0.8373163101315177,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,3,weighted_r4only,2,0.7,0.0,128,0,False,,0.6690748333930969,0.6194895736533974,0.7923665642738342,0.7447342629296162,0.125818622858534,0.1217523507797702,75.86407470703125,0.5926880836486816,0.59375,0.0,0.0,0.0,none,0,52.0,76.0,0.019047619047619046,0.0,0.8782476492202298,False,weighted,nan,nan,nan,base
